,name,ratings,dog_stage,retweet_count,favorite_count,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
666020888022790149,None,8/10,Unknown dog stage,532,2535,Welsh_springer_spaniel,46.51,True,collie,15.67,True,Shetland_sheepdog,6.14,True
666029285002620928,a,7/10,Unknown dog stage,48,132,redbone,50.68,True,miniature_pinscher,7.42,True,Rhodesian_ridgeback,7.2,True
666033412701032449,a,9/10,Unknown dog stage,47,128,German_shepherd,59.65,True,malinois,13.86,True,bloodhound,11.62,True
666044226329800704,a,6/10,Unknown dog stage,147,311,Rhodesian_ridgeback,40.81,True,redbone,36.07,True,miniature_pinscher,22.28,True
666049248165822465,None,5/10,Unknown dog stage,41,111,miniature_pinscher,56.03,True,Rottweiler,24.37,True,Doberman,15.46,True
666050758794694657,a,10/10,Unknown dog stage,60,136,Bernese_mountain_dog,65.11,True,English_springer,26.38,True,Greater_Swiss_Mountain_dog,1.62,True
666051853826850816,an,2/10,Unknown dog stage,879,1253,box_turtle,93.3,False,mud_turtle,4.59,False,terrapin,1.79,False
666055525042405380,a,10/10,Unknown dog stage,261,448,chow,69.25,True,Tibetan_mastiff,5.83,True,fur_coat,5.44,False
666057090499244032,a,9/10,Unknown dog stage,146,304,shopping_cart,96.25,False,shopping_basket,1.46,False,golden_retriever,0.8,True
666058600524156928,the,8/10,Unknown dog stage,61,115,miniature_poodle,20.15,True,komondor,19.23,True,soft-coated_wheaten_terrier,8.21,True
666063827256086533,the,10/10,Unknown dog stage,232,496,golden_retriever,77.59,True,Tibetan_mastiff,9.37,True,Labrador_retriever,7.24,True
666071193221509120,None,9/10,Unknown dog stage,67,154,Gordon_setter,50.37,True,Yorkshire_terrier,17.42,True,Pekinese,10.95,True
666073100786774016,None,10/10,Unknown dog stage,174,335,Walker_hound,26.09,True,English_foxhound,17.54,True,Ibizan_hound,9.75,True
666082916733198337,None,6/10,Unknown dog stage,47,121,pug,48.98,True,bull_mastiff,40.47,True,French_bulldog,4.9,True
666094000022159362,None,9/10,Unknown dog stage,79,169,bloodhound,19.52,True,German_shepherd,7.83,True,malinois,7.56,True
666099513787052032,None,8/10,Unknown dog stage,73,164,Lhasa,58.23,True,Shih-Tzu,16.62,True,Dandie_Dinmont,8.97,True
666102155909144576,None,11/10,Unknown dog stage,16,81,English_setter,29.86,True,Newfoundland,14.98,True,borzoi,13.36,True
666104133288665088,None,1/10,Unknown dog stage,6871,14765,hen,96.59,False,cock,3.39,False,partridge,0.01,False
666268910803644416,None,10/10,Unknown dog stage,37,108,desktop_computer,8.65,False,desk,8.55,False,bookcase,7.95,False
666273097616637952,None,11/10,Unknown dog stage,82,184,Italian_greyhound,17.61,True,toy_terrier,11.19,True,basenji,11.12,True
666293911632134144,a,3/10,Unknown dog stage,368,522,three-toed_sloth,91.47,False,otter,1.52,False,great_grey_owl,1.32,False
666337882303524864,an,9/10,Unknown dog stage,96,204,ox,41.67,False,Newfoundland,27.84,True,groenendael,10.26,True
666345417576210432,None,10/10,Unknown dog stage,146,307,golden_retriever,85.87,True,Chesapeake_Bay_retriever,5.48,True,Labrador_retriever,1.42,True
666353288456101888,None,8/10,Unknown dog stage,77,229,malamute,33.69,True,Siberian_husky,14.77,True,Eskimo_dog,9.34,True
666362758909284353,None,6/10,Unknown dog stage,595,804,guinea_pig,99.65,False,skunk,0.24,False,hamster,0.05,False
666373753744588802,None,11/10,Unknown dog stage,100,194,soft-coated_wheaten_terrier,32.65,True,Afghan_hound,25.96,True,briard,20.68,True
666396247373291520,None,9/10,Unknown dog stage,92,172,Chihuahua,97.81,True,toy_terrier,0.94,True,papillon,0.46,True
666407126856765440,a,7/10,Unknown dog stage,44,113,black-and-tan_coonhound,52.91,True,bloodhound,24.42,True,flat-coated_retriever,17.38,True
